11 Com b,4914.89849
11 UMi b,4684.8142
14 And b,1131.1513
16 Cyg B b,565.7374
17 Sco b,1373.01872
18 Del b,2926.24614
24 Boo b,280.64248
24 Sex b,632.46
24 Sex c,273.32
30 Ari B b,4392.4106
4 UMa b,2511.48007
42 Dra b,1233.13
47 UMa b,804.08
47 UMa c,171.621
47 UMa d,521.22
6 Lyn b,597.83523
61 Vir b,5.1
61 Vir c,18.2
61 Vir d,22.9
75 Cet b,787.89662
75 Cet c,289.85951
8 UMi b,416.3573
81 Cet b,1051.05854
91 Aqr b,1017
BD+03 2562 b,2034.112
BD+14 4559 b,330.5432
BD+15 2375 b,337.21763
BD+15 2940 b,352.78
BD+20 2457 b,6807.63
BD+20 2457 c,3963.17
BD+20 274 b,1334.886
BD+45 564 b,432.24663
BD+48 738 b,289.2253
BD+48 740 b,540.311
BD+49 828 b,508.5
BD+55 362 b,228.83645
BD-00 4475 b,7961.6016
BD-06 1339 b,8.5
BD-06 1339 c,53
BD-08 2823 b,12.7132
BD-08 2823 c,104
BD-10 3166 b,187.5197
BD-11 4672 b,206.5895
BD-11 4672 c,15.37
BD-13 2130 b,3108.3774
BD-17 63 b,1620.9
BD-210397 b,214
CD Cet b,3.95
CoRoT-20 c,5403.11
DMPP-1 b,24.27
DMPP-1 c,9.6
DMPP-1 d,3.35
DMPP-1 e,4.13
DMPP-2 b,138.89171
DMPP-3 A b,2.58
DMPP-4 b,12.2
G 264-012 b,2.5
G 264-012 c,3.75
GJ 1002 b,1.08
GJ 1002 c,1.36
GJ 1061 b,1.37
GJ 1061 c,1.74
GJ 1061 d,1.64
GJ 1132 c,2.64
GJ 1148 b,96.7
GJ 1148 c,68.06
GJ 1151 c,10.62
GJ 1265 b,7.4
GJ 15 A b,3.03
GJ 15 A c,36
GJ 160.2 b,10.2
GJ 163 b,10.6
GJ 163 c,6.8
GJ 163 d,29.4
GJ 180 b,6.49
GJ 180 c,6.4
GJ 180 d,7.56
GJ 2030 b,4.76743
GJ 2056 b,16.2
GJ 229 A c,8.58137
GJ 229 b,14.93794
GJ 251 b,4
GJ 27.1 b,13
GJ 273 b,2.89
GJ 273 c,1.18
GJ 3021 b,1071.04
GJ 3082 b,8.2
GJ 3138 b,1.78
GJ 3138 c,4.18
GJ 3138 d,10.5
GJ 317 c,522.5
GJ 3222 b,11.44182
GJ 328 b,797.7493
GJ 328 c,21.4
GJ 3293 b,23.54
GJ 3293 c,21.09
GJ 3293 d,7.6
GJ 3293 e,3.28
GJ 3323 b,2.02
GJ 3323 c,2.31
GJ 3341 b,6.6
GJ 338 B b,10.6
GJ 3473 c,7.41
GJ 3512 b,146.20107
GJ 3512 c,63.56568
GJ 357 c,3.4
GJ 357 d,6.1
GJ 367 c,4.13
GJ 367 d,6.03
GJ 3779 b,8
GJ 3929 c,5.71
GJ 393 b,1.71
GJ 3942 b,7.14
GJ 3998 b,2.47
GJ 3998 c,6.26
GJ 411 b,2.69
GJ 414 A b,7.6
GJ 414 A c,53.83
GJ 422 b,11.07
GJ 4276 b,16.57
GJ 433 b,6.043
GJ 433 c,32.422
GJ 433 d,5.223
GJ 480 b,13.2
GJ 514 b,5.2
GJ 536 b,5.36
GJ 581 b,15.8
GJ 581 c,5.5
GJ 581 e,1.7
GJ 625 b,2.82
GJ 649 b,81.99973
GJ 667 C b,5.6
GJ 667 C c,3.8
GJ 667 C e,2.7
GJ 667 C f,2.7
GJ 667 C g,4.6
GJ 674 b,11.09
GJ 676 A d,3.81394
GJ 676 A e,6.6744
GJ 682 b,4.4
GJ 682 c,8.7
GJ 685 b,9
GJ 687 b,17.2
GJ 687 c,16
GJ 720 A b,13.64
GJ 740 b,2.96
GJ 849 b,283.82077
GJ 849 c,0.99
GJ 86 b,1404.8086
GJ 887 b,4.2
GJ 887 c,7.6
GJ 9066 c,66.74397
GJ 9404 b,11.9
GJ 96 b,19.66
GJ 9689 b,9.65
Gl 378 b,13.02
Gl 49 b,5.63
Gl 686 b,6.624
HAT-P-13 c,4538.421
HAT-P-17 c,1080.6
HAT-P-44 c,1271.3
HATS-59 c,4036.441
HD 100655 b,511.7063
HD 101930 b,79.4575
HD 102117 b,54.0311
HD 102195 b,130.3103
HD 102272 b,1570.0802
HD 102329 b,2593.4928
HD 102329 c,483.1016
HD 102365 b,16
HD 102843 b,113.9
HD 102956 b,305.1168
HD 103197 b,28.6047
HD 103720 b,197.046
HD 103774 b,116
HD 103949 b,11.2
HD 104067 b,50.8528
HD 10442 b,472.61321
HD 104985 b,1766.80811
HD 105618 b,25.42627
HD 105779 b,203.41018
HD 10647 b,298.75
HD 107148 b,66.741
HD 107148 c,19.89606
HD 108147 b,82.95
HD 108863 b,767.24162
HD 108874 b,451.3186
HD 108874 c,314.64
HD 109246 b,273.3338
HD 109271 b,17.162
HD 109271 c,24.154
HD 109286 b,950.30694
