# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 22 10:54:15 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display not null
# CONSTRAINT:  and discoverymethod like '%Radial Velocity%'
# CONSTRAINT:  and rv_flag = 1
# CONSTRAINT:  and pul_flag = 0
# CONSTRAINT:  and ptv_flag = 0
# CONSTRAINT:  and tran_flag = 0
# CONSTRAINT:  and ast_flag = 0
# CONSTRAINT:  and obm_flag = 0
# CONSTRAINT:  and micro_flag = 0
# CONSTRAINT:  and etv_flag = 0
# CONSTRAINT:  and ima_flag = 0
# CONSTRAINT:  and dkin_flag = 0
# CONSTRAINT:  and pl_bmassestr not null
# CONSTRAINT:  and pl_bmassprov like '%Msini%')
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pul_flag:       Detected by Pulsar Timing Variations
# COLUMN ptv_flag:       Detected by Pulsation Timing Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN ast_flag:       Detected by Astrometric Variations
# COLUMN obm_flag:       Detected by Orbital Brightness Modulations
# COLUMN micro_flag:     Detected by Microlensing
# COLUMN etv_flag:       Detected by Eclipse Timing Variations
# COLUMN ima_flag:       Detected by Imaging
# COLUMN dkin_flag:      Detected by Disk Kinematics
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
#
pl_name,discoverymethod,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_bmasse,pl_bmassprov
11 Com b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,4914.89849,Msini
11 UMi b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,4684.81420,Msini
14 And b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,1131.15130,Msini
16 Cyg B b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,565.73740,Msini
17 Sco b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,1373.01872,Msini
18 Del b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,2926.24614,Msini
24 Boo b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,280.64248,Msini
24 Sex b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,632.46000,Msini
24 Sex c,Radial Velocity,1,0,0,0,0,0,0,0,0,0,273.32000,Msini
30 Ari B b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,4392.41060,Msini
4 UMa b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,2511.48007,Msini
42 Dra b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,1233.13000,Msini
47 UMa b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,804.08000,Msini
47 UMa c,Radial Velocity,1,0,0,0,0,0,0,0,0,0,171.62100,Msini
47 UMa d,Radial Velocity,1,0,0,0,0,0,0,0,0,0,521.22000,Msini
6 Lyn b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,597.83523,Msini
61 Vir b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,5.10000,Msini
61 Vir c,Radial Velocity,1,0,0,0,0,0,0,0,0,0,18.20000,Msini
61 Vir d,Radial Velocity,1,0,0,0,0,0,0,0,0,0,22.90000,Msini
75 Cet b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,787.89662,Msini
75 Cet c,Radial Velocity,1,0,0,0,0,0,0,0,0,0,289.85951,Msini
8 UMi b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,416.35730,Msini
81 Cet b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,1051.05854,Msini
91 Aqr b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,1017.00000,Msini
BD+03 2562 b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,2034.11200,Msini
BD+14 4559 b,Radial Velocity,1,0,0,0,0,0,0,0,0,0,330.54320,Msini
