# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 22 11:23:10 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display not null
# CONSTRAINT:  and discoverymethod like '%Transit%'
# CONSTRAINT:  and rv_flag = 1
# CONSTRAINT:  and pul_flag = 0
# CONSTRAINT:  and ptv_flag = 0
# CONSTRAINT:  and tran_flag = 1
# CONSTRAINT:  and ast_flag = 0
# CONSTRAINT:  and obm_flag = 0
# CONSTRAINT:  and micro_flag = 0
# CONSTRAINT:  and etv_flag = 0
# CONSTRAINT:  and ima_flag = 0
# CONSTRAINT:  and dkin_flag = 0
# CONSTRAINT:  and pl_bmassestr not null
# CONSTRAINT:  and pl_bmassprov like '%Mass%')
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pul_flag:       Detected by Pulsar Timing Variations
# COLUMN ptv_flag:       Detected by Pulsation Timing Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN ast_flag:       Detected by Astrometric Variations
# COLUMN obm_flag:       Detected by Orbital Brightness Modulations
# COLUMN micro_flag:     Detected by Microlensing
# COLUMN etv_flag:       Detected by Eclipse Timing Variations
# COLUMN ima_flag:       Detected by Imaging
# COLUMN dkin_flag:      Detected by Disk Kinematics
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
#
pl_name,discoverymethod,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_bmasse,pl_bmassprov
AU Mic b,Transit,1,0,0,1,0,0,0,0,0,0,20.12000,Mass
AU Mic c,Transit,1,0,0,1,0,0,0,0,0,0,9.60000,Mass
BD+20 594 b,Transit,1,0,0,1,0,0,0,0,0,0,22.24810,Mass
CoRoT-10 b,Transit,1,0,0,1,0,0,0,0,0,0,874.00000,Mass
CoRoT-11 b,Transit,1,0,0,1,0,0,0,0,0,0,740.51000,Mass
CoRoT-12 b,Transit,1,0,0,1,0,0,0,0,0,0,291.43800,Mass
CoRoT-13 b,Transit,1,0,0,1,0,0,0,0,0,0,415.70400,Mass
CoRoT-14 b,Transit,1,0,0,1,0,0,0,0,0,0,2415.40000,Mass
CoRoT-16 b,Transit,1,0,0,1,0,0,0,0,0,0,170.03200,Mass
CoRoT-17 b,Transit,1,0,0,1,0,0,0,0,0,0,772.29000,Mass
CoRoT-18 b,Transit,1,0,0,1,0,0,0,0,0,0,1102.82000,Mass
CoRoT-19 b,Transit,1,0,0,1,0,0,0,0,0,0,352.78000,Mass
CoRoT-2 b,Transit,1,0,0,1,0,0,0,0,0,0,1102.82000,Mass
CoRoT-20 b,Transit,1,0,0,1,0,0,0,0,0,0,1366.66900,Mass
CoRoT-21 b,Transit,1,0,0,1,0,0,0,0,0,0,718.29580,Mass
CoRoT-22 b,Transit,1,0,0,1,0,0,0,0,0,0,12.20000,Mass
CoRoT-23 b,Transit,1,0,0,1,0,0,0,0,0,0,889.90000,Mass
CoRoT-24 b,Transit,1,0,0,1,0,0,0,0,0,0,5.70000,Mass
CoRoT-24 c,Transit,1,0,0,1,0,0,0,0,0,0,28.00000,Mass
CoRoT-25 b,Transit,1,0,0,1,0,0,0,0,0,0,85.81000,Mass
