# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 22 11:10:52 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display not null
# CONSTRAINT:  and discoverymethod like '%Transit%'
# CONSTRAINT:  and rv_flag = 0
# CONSTRAINT:  and pul_flag = 0
# CONSTRAINT:  and ptv_flag = 0
# CONSTRAINT:  and tran_flag = 1
# CONSTRAINT:  and ast_flag = 0
# CONSTRAINT:  and obm_flag = 0
# CONSTRAINT:  and micro_flag = 0
# CONSTRAINT:  and etv_flag = 0
# CONSTRAINT:  and ima_flag = 0
# CONSTRAINT:  and dkin_flag = 0
# CONSTRAINT:  and pl_bmassestr not null
# CONSTRAINT:  and pl_bmassprov like '%M-R Relationship%')
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pul_flag:       Detected by Pulsar Timing Variations
# COLUMN ptv_flag:       Detected by Pulsation Timing Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN ast_flag:       Detected by Astrometric Variations
# COLUMN obm_flag:       Detected by Orbital Brightness Modulations
# COLUMN micro_flag:     Detected by Microlensing
# COLUMN etv_flag:       Detected by Eclipse Timing Variations
# COLUMN ima_flag:       Detected by Imaging
# COLUMN dkin_flag:      Detected by Disk Kinematics
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
#
pl_name,discoverymethod,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_bmasse,pl_bmassprov
EPIC 201170410.02,Transit,0,0,0,1,0,0,0,0,0,0,1.15000,M-R relationship
EPIC 201238110 b,Transit,0,0,0,1,0,0,0,0,0,0,4.16000,M-R relationship
EPIC 201427007 b,Transit,0,0,0,1,0,0,0,0,0,0,2.86000,M-R relationship
EPIC 201497682 b,Transit,0,0,0,1,0,0,0,0,0,0,0.26000,M-R relationship
EPIC 201595106 b,Transit,0,0,0,1,0,0,0,0,0,0,2.24000,M-R relationship
EPIC 201615463 c,Transit,0,0,0,1,0,0,0,0,0,0,1.98000,M-R relationship
EPIC 201754305 d,Transit,0,0,0,1,0,0,0,0,0,0,1.08000,M-R relationship
EPIC 201757695.02,Transit,0,0,0,1,0,0,0,0,0,0,0.68800,M-R relationship
EPIC 201833600 c,Transit,0,0,0,1,0,0,0,0,0,0,0.97200,M-R relationship
EPIC 201841433 b,Transit,0,0,0,1,0,0,0,0,0,0,1.12000,M-R relationship
EPIC 205950854 c,Transit,0,0,0,1,0,0,0,0,0,0,2.27000,M-R relationship
EPIC 206024342 b,Transit,0,0,0,1,0,0,0,0,0,0,3.53000,M-R relationship
EPIC 206024342 c,Transit,0,0,0,1,0,0,0,0,0,0,2.54000,M-R relationship
EPIC 206024342 d,Transit,0,0,0,1,0,0,0,0,0,0,7.27000,M-R relationship
EPIC 206032309 b,Transit,0,0,0,1,0,0,0,0,0,0,1.01000,M-R relationship
EPIC 206042996 b,Transit,0,0,0,1,0,0,0,0,0,0,3.53000,M-R relationship
EPIC 206042996 c,Transit,0,0,0,1,0,0,0,0,0,0,1.87000,M-R relationship
EPIC 206215704 b,Transit,0,0,0,1,0,0,0,0,0,0,0.97200,M-R relationship
EPIC 206317286 b,Transit,0,0,0,1,0,0,0,0,0,0,0.84000,M-R relationship
EPIC 206317286 c,Transit,0,0,0,1,0,0,0,0,0,0,5.03000,M-R relationship
EPIC 211822797 b,Transit,0,0,0,1,0,0,0,0,0,0,4.35000,M-R relationship
EPIC 212297394 b,Transit,0,0,0,1,0,0,0,0,0,0,2.79000,M-R relationship
EPIC 212297394 c,Transit,0,0,0,1,0,0,0,0,0,0,5.77000,M-R relationship
EPIC 212424622 b,Transit,0,0,0,1,0,0,0,0,0,0,5.35000,M-R relationship
EPIC 212499991 b,Transit,0,0,0,1,0,0,0,0,0,0,3.19000,M-R relationship
EPIC 212587672 b,Transit,0,0,0,1,0,0,0,0,0,0,2.13000,M-R relationship
EPIC 212587672 c,Transit,0,0,0,1,0,0,0,0,0,0,5.99000,M-R relationship
EPIC 212624936 b,Transit,0,0,0,1,0,0,0,0,0,0,1.87000,M-R relationship
EPIC 212624936 c,Transit,0,0,0,1,0,0,0,0,0,0,5.90000,M-R relationship
EPIC 212737443 b,Transit,0,0,0,1,0,0,0,0,0,0,7.20000,M-R relationship
EPIC 212737443 c,Transit,0,0,0,1,0,0,0,0,0,0,7.70000,M-R relationship
EPIC 220492298 b,Transit,0,0,0,1,0,0,0,0,0,0,0.93700,M-R relationship
EPIC 220554210 c,Transit,0,0,0,1,0,0,0,0,0,0,3.19000,M-R relationship
EPIC 228836835 b,Transit,0,0,0,1,0,0,0,0,0,0,1.37000,M-R relationship
HD 108236 b,Transit,0,0,0,1,0,0,0,0,0,0,3.24000,M-R relationship
HD 108236 c,Transit,0,0,0,1,0,0,0,0,0,0,4.94000,M-R relationship
HD 108236 d,Transit,0,0,0,1,0,0,0,0,0,0,6.98000,M-R relationship
HD 108236 e,Transit,0,0,0,1,0,0,0,0,0,0,9.71000,M-R relationship
HD 108236 f,Transit,0,0,0,1,0,0,0,0,0,0,4.72000,M-R relationship
HD 109833 b,Transit,0,0,0,1,0,0,0,0,0,0,8.69000,M-R relationship
HD 109833 c,Transit,0,0,0,1,0,0,0,0,0,0,7.22000,M-R relationship
HD 15906 b,Transit,0,0,0,1,0,0,0,0,0,0,5.65000,M-R relationship
HD 15906 c,Transit,0,0,0,1,0,0,0,0,0,0,8.91000,M-R relationship
HD 235088 b,Transit,0,0,0,1,0,0,0,0,0,0,4.84000,M-R relationship
HD 56414 b,Transit,0,0,0,1,0,0,0,0,0,0,13.30000,M-R relationship
HD 63433 b,Transit,0,0,0,1,0,0,0,0,0,0,5.27000,M-R relationship
HD 63433 c,Transit,0,0,0,1,0,0,0,0,0,0,7.61000,M-R relationship
HIP 113103 b,Transit,0,0,0,1,0,0,0,0,0,0,4.00000,M-R relationship
HIP 113103 c,Transit,0,0,0,1,0,0,0,0,0,0,6.35000,M-R relationship
HIP 41378 b,Transit,0,0,0,1,0,0,0,0,0,0,6.83000,M-R relationship
HIP 41378 c,Transit,0,0,0,1,0,0,0,0,0,0,7.08000,M-R relationship
HIP 41378 d,Transit,0,0,0,1,0,0,0,0,0,0,14.90000,M-R relationship
HIP 41378 e,Transit,0,0,0,1,0,0,0,0,0,0,26.00000,M-R relationship
HIP 41378 f,Transit,0,0,0,1,0,0,0,0,0,0,74.00000,M-R relationship
HIP 67522 b,Transit,0,0,0,1,0,0,0,0,0,0,72.40000,M-R relationship
HR 858 b,Transit,0,0,0,1,0,0,0,0,0,0,5.00000,M-R relationship
HR 858 c,Transit,0,0,0,1,0,0,0,0,0,0,4.42000,M-R relationship
HR 858 d,Transit,0,0,0,1,0,0,0,0,0,0,5.32000,M-R relationship
K2-101 b,Transit,0,0,0,1,0,0,0,0,0,0,4.66000,M-R relationship
K2-102 b,Transit,0,0,0,1,0,0,0,0,0,0,2.24000,M-R relationship
K2-104 b,Transit,0,0,0,1,0,0,0,0,0,0,3.86000,M-R relationship
K2-11 b,Transit,0,0,0,1,0,0,0,0,0,0,44.40000,M-R relationship
K2-116 b,Transit,0,0,0,1,0,0,0,0,0,0,0.25700,M-R relationship
K2-117 b,Transit,0,0,0,1,0,0,0,0,0,0,4.78000,M-R relationship
K2-117 c,Transit,0,0,0,1,0,0,0,0,0,0,4.90000,M-R relationship
K2-118 b,Transit,0,0,0,1,0,0,0,0,0,0,6.99000,M-R relationship
K2-119 b,Transit,0,0,0,1,0,0,0,0,0,0,6.94000,M-R relationship
K2-120 b,Transit,0,0,0,1,0,0,0,0,0,0,4.70000,M-R relationship
K2-121 b,Transit,0,0,0,1,0,0,0,0,0,0,44.10000,M-R relationship
K2-122 b,Transit,0,0,0,1,0,0,0,0,0,0,1.65000,M-R relationship
K2-123 b,Transit,0,0,0,1,0,0,0,0,0,0,8.05000,M-R relationship
K2-124 b,Transit,0,0,0,1,0,0,0,0,0,0,8.75000,M-R relationship
K2-125 b,Transit,0,0,0,1,0,0,0,0,0,0,5.39000,M-R relationship
K2-126 b,Transit,0,0,0,1,0,0,0,0,0,0,4.54000,M-R relationship
K2-127 b,Transit,0,0,0,1,0,0,0,0,0,0,52.90000,M-R relationship
K2-128 b,Transit,0,0,0,1,0,0,0,0,0,0,2.60000,M-R relationship
K2-129 b,Transit,0,0,0,1,0,0,0,0,0,0,1.12000,M-R relationship
K2-13 b,Transit,0,0,0,1,0,0,0,0,0,0,4.23000,M-R relationship
K2-130 b,Transit,0,0,0,1,0,0,0,0,0,0,2.10000,M-R relationship
K2-133 b,Transit,0,0,0,1,0,0,0,0,0,0,2.36000,M-R relationship
K2-133 c,Transit,0,0,0,1,0,0,0,0,0,0,3.20000,M-R relationship
K2-133 d,Transit,0,0,0,1,0,0,0,0,0,0,4.67000,M-R relationship
K2-133 e,Transit,0,0,0,1,0,0,0,0,0,0,3.64000,M-R relationship
K2-14 b,Transit,0,0,0,1,0,0,0,0,0,0,20.70000,M-R relationship
K2-147 b,Transit,0,0,0,1,0,0,0,0,0,0,0.31500,M-R relationship
K2-148 b,Transit,0,0,0,1,0,0,0,0,0,0,2.33000,M-R relationship
K2-148 c,Transit,0,0,0,1,0,0,0,0,0,0,3.64000,M-R relationship
K2-148 d,Transit,0,0,0,1,0,0,0,0,0,0,3.33000,M-R relationship
K2-149 b,Transit,0,0,0,1,0,0,0,0,0,0,3.33000,M-R relationship
K2-15 b,Transit,0,0,0,1,0,0,0,0,0,0,6.71000,M-R relationship
K2-150 b,Transit,0,0,0,1,0,0,0,0,0,0,4.66000,M-R relationship
K2-151 b,Transit,0,0,0,1,0,0,0,0,0,0,2.83000,M-R relationship
K2-152 b,Transit,0,0,0,1,0,0,0,0,0,0,5.86000,M-R relationship
K2-153 b,Transit,0,0,0,1,0,0,0,0,0,0,4.66000,M-R relationship
K2-154 b,Transit,0,0,0,1,0,0,0,0,0,0,4.62000,M-R relationship
K2-154 c,Transit,0,0,0,1,0,0,0,0,0,0,4.94000,M-R relationship
K2-155 b,Transit,0,0,0,1,0,0,0,0,0,0,3.89000,M-R relationship
K2-155 c,Transit,0,0,0,1,0,0,0,0,0,0,7.27000,M-R relationship
K2-155 d,Transit,0,0,0,1,0,0,0,0,0,0,4.27000,M-R relationship
K2-156 b,Transit,0,0,0,1,0,0,0,0,0,0,1.37000,M-R relationship
K2-157 b,Transit,0,0,0,1,0,0,0,0,0,0,0.97200,M-R relationship
K2-158 b,Transit,0,0,0,1,0,0,0,0,0,0,7.46000,M-R relationship
K2-158 c,Transit,0,0,0,1,0,0,0,0,0,0,2.18000,M-R relationship
K2-159 b,Transit,0,0,0,1,0,0,0,0,0,0,5.73000,M-R relationship
K2-16 b,Transit,0,0,0,1,0,0,0,0,0,0,4.74000,M-R relationship
K2-16 c,Transit,0,0,0,1,0,0,0,0,0,0,6.99000,M-R relationship
K2-160 b,Transit,0,0,0,1,0,0,0,0,0,0,10.20000,M-R relationship
K2-161 b,Transit,0,0,0,1,0,0,0,0,0,0,31.10000,M-R relationship
K2-162 b,Transit,0,0,0,1,0,0,0,0,0,0,2.67000,M-R relationship
K2-163 b,Transit,0,0,0,1,0,0,0,0,0,0,6.65000,M-R relationship
K2-164 b,Transit,0,0,0,1,0,0,0,0,0,0,10.60000,M-R relationship
K2-165 b,Transit,0,0,0,1,0,0,0,0,0,0,2.17000,M-R relationship
K2-165 c,Transit,0,0,0,1,0,0,0,0,0,0,3.03000,M-R relationship
K2-165 d,Transit,0,0,0,1,0,0,0,0,0,0,7.50000,M-R relationship
K2-166 b,Transit,0,0,0,1,0,0,0,0,0,0,5.43000,M-R relationship
K2-168 b,Transit,0,0,0,1,0,0,0,0,0,0,4.12000,M-R relationship
K2-169 b,Transit,0,0,0,1,0,0,0,0,0,0,2.16000,M-R relationship
K2-17 b,Transit,0,0,0,1,0,0,0,0,0,0,5.60000,M-R relationship
K2-170 b,Transit,0,0,0,1,0,0,0,0,0,0,2.60000,M-R relationship
K2-170 c,Transit,0,0,0,1,0,0,0,0,0,0,3.90000,M-R relationship
K2-171 b,Transit,0,0,0,1,0,0,0,0,0,0,7.69000,M-R relationship
K2-172 b,Transit,0,0,0,1,0,0,0,0,0,0,3.42000,M-R relationship
K2-172 c,Transit,0,0,0,1,0,0,0,0,0,0,10.40000,M-R relationship
K2-173 b,Transit,0,0,0,1,0,0,0,0,0,0,3.22000,M-R relationship
K2-174 b,Transit,0,0,0,1,0,0,0,0,0,0,7.27000,M-R relationship
K2-175 b,Transit,0,0,0,1,0,0,0,0,0,0,4.81000,M-R relationship
K2-176 b,Transit,0,0,0,1,0,0,0,0,0,0,2.83000,M-R relationship
K2-177 b,Transit,0,0,0,1,0,0,0,0,0,0,5.13000,M-R relationship
K2-178 b,Transit,0,0,0,1,0,0,0,0,0,0,12.40000,M-R relationship
K2-179 b,Transit,0,0,0,1,0,0,0,0,0,0,6.86000,M-R relationship
K2-181 b,Transit,0,0,0,1,0,0,0,0,0,0,8.45000,M-R relationship
K2-183 b,Transit,0,0,0,1,0,0,0,0,0,0,1.37000,M-R relationship
K2-183 c,Transit,0,0,0,1,0,0,0,0,0,0,5.90000,M-R relationship
K2-183 d,Transit,0,0,0,1,0,0,0,0,0,0,5.90000,M-R relationship
K2-184 b,Transit,0,0,0,1,0,0,0,0,0,0,2.76000,M-R relationship
K2-185 b,Transit,0,0,0,1,0,0,0,0,0,0,1.60000,M-R relationship
K2-185 c,Transit,0,0,0,1,0,0,0,0,0,0,6.30000,M-R relationship
K2-186 b,Transit,0,0,0,1,0,0,0,0,0,0,10.20000,M-R relationship
K2-187 b,Transit,0,0,0,1,0,0,0,0,0,0,1.87000,M-R relationship
K2-187 c,Transit,0,0,0,1,0,0,0,0,0,0,2.54000,M-R relationship
K2-187 d,Transit,0,0,0,1,0,0,0,0,0,0,6.35000,M-R relationship
K2-187 e,Transit,0,0,0,1,0,0,0,0,0,0,4.27000,M-R relationship
K2-188 b,Transit,0,0,0,1,0,0,0,0,0,0,2.39000,M-R relationship
K2-188 c,Transit,0,0,0,1,0,0,0,0,0,0,8.40000,M-R relationship
K2-189 b,Transit,0,0,0,1,0,0,0,0,0,0,2.92000,M-R relationship
K2-189 c,Transit,0,0,0,1,0,0,0,0,0,0,6.80000,M-R relationship
K2-190 b,Transit,0,0,0,1,0,0,0,0,0,0,2.41000,M-R relationship
K2-190 c,Transit,0,0,0,1,0,0,0,0,0,0,1.34000,M-R relationship
K2-191 b,Transit,0,0,0,1,0,0,0,0,0,0,3.12000,M-R relationship
K2-192 b,Transit,0,0,0,1,0,0,0,0,0,0,2.92000,M-R relationship
K2-193 b,Transit,0,0,0,1,0,0,0,0,0,0,14.80000,M-R relationship
K2-194 b,Transit,0,0,0,1,0,0,0,0,0,0,12.90000,M-R relationship
K2-195 b,Transit,0,0,0,1,0,0,0,0,0,0,9.96000,M-R relationship
K2-195 c,Transit,0,0,0,1,0,0,0,0,0,0,7.16000,M-R relationship
K2-196 b,Transit,0,0,0,1,0,0,0,0,0,0,12.60000,M-R relationship
K2-197 b,Transit,0,0,0,1,0,0,0,0,0,0,7.08000,M-R relationship
K2-198 b,Transit,0,0,0,1,0,0,0,0,0,0,16.30000,M-R relationship
K2-198 c,Transit,0,0,0,1,0,0,0,0,0,0,2.61000,M-R relationship
K2-198 d,Transit,0,0,0,1,0,0,0,0,0,0,6.52000,M-R relationship
K2-200 b,Transit,0,0,0,1,0,0,0,0,0,0,2.43000,M-R relationship
